,SKU,Item NamePrice,Reviews Num,1 Star Reviews,1 Star Images,2 Stars Reviews,2 Stars Images,3 Stars Reviews,3 Stars Images,4 Stars Reviews,4 Stars Images,5 Stars Reviews,5 Stars Images,Points Earnning,Style,Color,Pattern Type,Length,Type,Neckline,Sleeve Length,Sleeve Type,Placket Type,Details,Season,Composition,Material,Fabric,Sheer,Fit Type,Closure Type,Waist Line,Panty Type,Body,Chest pad,Bra Type,Bottom Type,Item Name,Price,Top Type,Belt,Hem Shaped,Placket,Care Instructions,Arabian Clothing,Doorzichtig,Kleur,Lengte,Materiaal,Mouw lengte,Neklijn,Patroon type,Seizoen,Stijl,Stof,Type fit,Type mouwen
15,swtwop23201111028,,871,7,1,11,2,39,5,42,8,772,152,24,Casual,Black,Plain,,,Round Neck,Long Sleeve,Regular Sleeve,,"Drawstring, Pocket",Spring/Fall,"35% Cotton, 65% Polyester",Polyester,High Stretch,No,Regular Fit,,,,,,,Sweatpants,Marled Knit Sweatshirt & Drawstring Waist Joggers Set,20.0,Sweatshirt,,,,,,,,,,,,,,,,,
16,swtwop23201013482,,871,7,1,11,2,39,5,42,8,772,152,24,Casual,Grey,Plain,,,Round Neck,Long Sleeve,Regular Sleeve,,"Drawstring, Pocket",Spring/Fall,"35% Cotton, 65% Polyester",Polyester,High Stretch,No,Regular Fit,,,,,,,Sweatpants,Marled Knit Sweatshirt & Drawstring Waist Pants Set,20.0,Sweatshirt,,,,,,,,,,,,,,,,,
17,swtwop23201111424,,871,7,1,11,2,39,5,42,8,772,152,24,Casual,Pink,Plain,,,Round Neck,Long Sleeve,Regular Sleeve,,"Drawstring, Pocket",Spring/Fall,"35% Cotton, 65% Polyester",Polyester,High Stretch,No,Regular Fit,,,,,,,Sweatpants,Marled Knit Sweatshirt & Drawstring Waist Pants Set,20.0,Sweatshirt,,,,,,,,,,,,,,,,,
18,swtwop23201111413,,871,7,1,11,2,39,5,42,8,772,152,24,Casual,Khaki,Plain,,,Round Neck,Long Sleeve,Regular Sleeve,,"Drawstring, Pocket",Spring/Fall,"35% Cotton, 65% Polyester",Polyester,High Stretch,No,Regular Fit,,,,,,,Sweatpants,Marled Knit Sweatshirt & Drawstring Waist Pants Set,20.0,Sweatshirt,,,,,,,,,,,,,,,,,
19,swsweatsh23201111016,,10000,0,0,0,0,0,0,0,0,9999,5688,12,Casual,Lilac Purple,Letter,Regular,Pullovers,Hooded,Long Sleeve,Raglan Sleeve,,"Drawstring, Pocket",Spring,"12% Cotton, 88% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Letter Graphic Raglan Sleeve Drawstring Hoodie,9.99,,,,,,,,,,,,,,,,,,
20,swsweatsh03190926359,,10000,0,0,0,0,0,0,0,0,9999,5688,12,Casual,Yellow,Letter,Regular,Pullovers,Hooded,Long Sleeve,Raglan Sleeve,,"Drawstring, Pocket",Spring,"12% Cotton, 88% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Neon Yellow Letter Graphic Hoodie,9.99,,,,,,,,,,,,,,,,,,
21,swsweatsh23200925989,,10000,0,0,0,0,0,0,0,0,9999,5688,12,Casual,Mocha Brown,Letter,Regular,Pullovers,Hooded,Long Sleeve,Raglan Sleeve,,"Drawstring, Pocket",Spring/Fall,"12% Cotton, 88% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Letter Graphic Raglan Sleeve Drawstring Hoodie,9.99,,,,,,,,,,,,,,,,,,
22,swsweatsh23200925169,,10000,0,0,0,0,0,0,0,0,9999,5688,12,Casual,Blue,Letter,Regular,Pullovers,Hooded,Long Sleeve,Raglan Sleeve,,"Drawstring, Pocket",Spring/Fall,"12% Cotton, 88% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Letter Graphic Raglan Sleeve Drawstring Hoodie,9.99,,,,,,,,,,,,,,,,,,
23,swsweatsh23200925967,,10000,0,0,0,0,0,0,0,0,9999,5688,12,Casual,Grey,Letter,Regular,Pullovers,Hooded,Long Sleeve,Raglan Sleeve,,"Drawstring, Pocket",Spring/Fall,"12% Cotton, 88% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Letter Graphic Raglan Sleeve Drawstring Hoodie,9.99,,,,,,,,,,,,,,,,,,
24,swsweatsh23201012861,,10000,0,0,0,0,0,0,0,0,9999,5688,12,Casual,Khaki,Letter,Regular,Pullovers,Hooded,Long Sleeve,Raglan Sleeve,,"Drawstring, Pocket",Spring/Fall,"12% Cotton, 88% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Letter Graphic Raglan Sleeve Drawstring Hoodie,9.99,,,,,,,,,,,,,,,,,,
